id,event_type,event_cause,address,latitude,longitude,junction,zone,corridor,start_datetime,end_datetime,requires_road_closure,priority,direction,status,description,police_station,closed_datetime,resolved_datetime,created_by_id,duration_min,start_hour
FKID000235,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9694199,77.7006686,unknown,unknown,ORR East 2,,2024-02-02 09:05:46+00:00,False,High,unknown,closed,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,HAL Old Airport,,,FKUSR00043,,
FKID000241,planned,vip_movement,"Sri Narsimha Rao Road, Town Hall Junction, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",12.9643399,77.5855341,unknown,unknown,Mysore Road,,2024-02-01 21:05:46+00:00,False,High,unknown,closed,LGV ವಾಹನದ ಗಲಿ ಪಂಚರಾಗಿದ್ದು ಅದನ್ನು ಸೂಲ್ಪ ಸಮಯದಲ್ಲಿ ಬದಲಾವಣೆ ಮಾಡಿಕೊಂಡು ಹೋಗುತ್ತೇವೆ ಎಂದು ತಿಳಿಸಿರುತ್ತಾರೆ ಸರ್,Halasuru Gate,,,FKUSR00186,,
FKID000253,planned,construction,"Bangalore Mysore Expressway, Kempegowda Layout, Kaniminike, Bengaluru, Karnataka. Pin-560074 (India)",12.860655,77.4311029,unknown,unknown,Non-corridor,,2024-02-01 22:12:46+00:00,True,Low,unknown,closed,Towards Mysore,Kengeri,,,FKUSR00195,,
FKID000312,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9694578,77.7006343,unknown,unknown,ORR East 2,,2024-02-03 09:05:46+00:00,False,High,unknown,closed,[LOCATION] towards marathhalli and karthiknagara towards mahadevpura traffic movement will be slow due to metrostation work,HAL Old Airport,,,FKUSR00043,,
FKID000355,planned,construction,"Grant Road, Walton Road Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9712598,77.597572,unknown,unknown,Non-corridor,,2024-03-09 01:18:46+00:00,True,Low,unknown,closed,road closue,Cubbon Park,,,FKUSR00264,,
FKID000375,planned,construction,"Kempapura Main Road, Esteem Mall, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",13.049104,77.5932567,unknown,unknown,Bellary Road 1,,2024-02-03 12:20:46+00:00,False,High,unknown,closed,Work in progress by NHAI sir,Hebbala,,,FKUSR00279,,
FKID000412,planned,construction,"MBT Road, Govind Pura, Nagavara, Bengaluru, Karnataka. Pin-560045 (India)",13.0418551,77.6138337,unknown,unknown,ORR North 1,,2024-03-09 02:25:46+00:00,True,High,unknown,closed,BWSSB & Cable work is going near [LOCATION] service road towards [LOCATION]. service road is closed towards [LOCATION] from [LOCATION],Hennuru,,,FKUSR00304,,
FKID000426,planned,construction,"Hennur Main Road, Mantri Splendor, Hiremath Layout, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)",13.0469097,77.6445369,unknown,unknown,Non-corridor,,2024-03-12 06:38:46+00:00,False,Low,unknown,closed,white tapping work at Geddalahalli towards bagalur and airport back sir,Hennuru,,,FKUSR00318,,
FKID000433,planned,public_event,"Gear School road, ದೊಡ್ಡಕನ್ನಲ್ಲಿ, ಗುಂಜೂರು, ಬೆಂಗಳೂರು ಪೂರ್ವ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಪೂರ್ವ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560035, India",12.90731581,77.6955824,unknown,unknown,Non-corridor,2024-02-03 22:05:46+00:00,2024-02-04 09:05:46+00:00,True,Low,unknown,closed,[PERSON] and Palakki Uthsava at Dodakkanahalli,Bellandur,,,FKUSR00009,660.0,22.0
FKID000437,planned,public_event,"Gear School road, Doddakannalli, Gunjur, Bengaluru East City Corporation, Bengaluru, Bangalore East, Bengaluru Urban, Karnataka, 560035, India",12.90730454,77.69558165,unknown,unknown,Non-corridor,2024-02-03 22:05:46+00:00,,True,Low,unknown,closed,"Sri.Tirumalaswmay
Brahma Rathotsava &
Night [PERSON]",Bellandur,,,FKUSR00009,,22.0
FKID000439,planned,public_event,"ಕ್ವಿನ್ಸ್ ರಸ್ತೆ, ಶಾಂತಲಾ ನಗರ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",12.97878153,77.59976254,QueensStatueCircle,unknown,CBD 2,2024-02-03 14:05:46+00:00,2024-02-04 14:05:46+00:00,False,High,unknown,closed,IPL opening Ceremony 2026- RCB vs SRH at [LOCATION].,Cubbon Park,,,FKUSR00009,1440.0,14.0
FKID000468,planned,procession,"Ambalipura Main Road, Sonestaa Woods, Bellandur Village, Bellandur, Bengaluru, Karnataka. Pin-560103 (India)",12.9299316,77.6761985,unknown,unknown,Non-corridor,,2024-02-05 06:05:46+00:00,True,Low,unknown,closed,Call me [PHONE] [LOCATION] village car festival,Bellandur,,,FKUSR00075,,
FKID000478,planned,procession,"Dr Rajgopal Road, MET Layout, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",13.0271353,77.5796689,unknown,unknown,Non-corridor,,2024-02-05 04:41:46+00:00,False,Low,unknown,closed,[PERSON] junction to bhoopasandra bus stand traffic Slow moment sir,Kodigehalli,,,FKUSR00346,,
FKID000490,planned,construction,"HAL Airport Road, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9567617,77.7015267,unknown,unknown,Varthur Road,,2024-02-04 17:25:46+00:00,True,High,unknown,closed,"Kundalahalli towards doddanekundi main road,and [PERSON] police station towards [LOCATION] service road closed regarding metro work sir",HAL Old Airport,,,FKUSR00352,,
FKID000502,planned,public_event,"ಬೆಳ್ಳಂದೂರು, ಬೆಂಗಳೂರು ಪೂರ್ವ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಪೂರ್ವ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560103, India",12.92609339,77.67623685,unknown,unknown,ORR East 1,2024-02-04 22:05:46+00:00,2024-02-05 18:05:46+00:00,True,High,unknown,closed,[PERSON] and Palakki Uthsava at Bellandur,Bellandur,,,FKUSR00009,1200.0,22.0
FKID000553,planned,construction,"Outer Ring Road, Central Avenue, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9698023,77.7004597,unknown,unknown,ORR East 2,,2024-03-10 10:05:46+00:00,False,High,unknown,closed,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,HAL Old Airport,,,FKUSR00043,,
FKID000557,planned,construction,"24th Main Road, P Muniyappa Garden, JP Nagar Phase 6, Bengaluru, Karnataka. Pin-560078 (India)",12.9050763,77.5856446,unknown,unknown,ORR West 1,,2024-03-09 21:35:46+00:00,False,High,unknown,closed,ಮಳೆ ಬಂದು ರಸ್ತೆ ಗುಂಡಿಗಳು ಬಿದ್ದಿದೆ ಸಂಚಾರ ನಿಧಾನಗತಿಯಲ್ಲಿದೆ ಸರ್,J.P. Nagar,,,FKUSR00388,,
FKID000575,planned,construction,"West Parallel Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.969172,77.7005467,unknown,unknown,ORR East 2,2024-02-05 21:20:46+00:00,2024-02-06 09:05:46+00:00,False,High,unknown,closed,[LOCATION] statin work,HAL Old Airport,,,FKUSR00043,705.0,21.0
FKID000629,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9694928,77.700667,unknown,unknown,ORR East 2,,2024-02-07 09:05:46+00:00,False,High,unknown,closed,[LOCATION] towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station work,HAL Old Airport,,,FKUSR00043,,
FKID000637,planned,construction,"ಬಿಇಎಲ್ ರಸ್ತೆ, ಎಚ್ಎಮ್.ಟಿ ವಾರ್ಡ್, ಬೆಂಗಳೂರು ಉತ್ತರ ನಗರ ನಿಗಮ, Bengaluru, ಯಲಹಂಕ ತಾಲೂಕು, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560013, India",13.05331416,77.55094528,unknown,North Zone 1,Non-corridor,2023-12-11 12:05:46+00:00,2024-02-07 11:35:46+00:00,True,Low,unknown,closed,White Topping work from [LOCATION] to [LOCATION].,Jalahalli,,,FKUSR00009,83490.0,12.0
FKID000694,planned,construction,"Dr Rajkumar Puniya Bhoomi Road, Learning to Fly, JP Nagar Phase 6, Bengaluru, Karnataka. Pin-560078 (India)",12.906294,77.5854735,unknown,unknown,ORR West 1,,2024-02-08 05:40:46+00:00,False,High,unknown,closed,Puttenahalli underpass water logging cleaning work progressing from BBMP sir,J.P. Nagar,,,FKUSR00051,,
FKID000699,planned,construction,"Bellary Road, Concorde Mayfair, KHB Colony, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",13.0949499,77.5972685,unknown,unknown,Bellary Road 2,,2024-02-08 06:05:46+00:00,False,High,unknown,closed,Good evening sir/madam [PERSON] work at Coffee Day opposite.,Yelahanka,,,FKUSR00299,,
FKID000717,planned,procession,"KR Main Road, BNV Subramanya Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",12.9533243,77.5737148,unknown,unknown,Non-corridor,,2024-03-10 22:35:46+00:00,False,Low,unknown,closed,[PERSON] jain bandari college towards [LOCATION],V.V.Puram (C.Pet),,,FKUSR00058,,
FKID000737,planned,public_event,"Mother Teresa Circle, Saint John's Church Road, Kothandram Layout, K Kamaraj Ward, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560042, India",12.98709566,77.61905384,unknown,unknown,Non-corridor,2024-02-07 18:05:46+00:00,2024-02-08 18:05:46+00:00,True,Low,unknown,closed,[PERSON],Pulikeshinagar(F.Town),,,FKUSR00009,1440.0,18.0
FKID000805,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9696663,77.7005081,unknown,unknown,ORR East 2,,2024-02-09 09:05:46+00:00,False,High,unknown,closed,[LOCATION] towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station work,HAL Old Airport,,,FKUSR00043,,
FKID000816,planned,construction,"Peenya Main Road, Sri Muneshwara Industrial Estate, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",13.0360195,77.5212488,unknown,unknown,Tumkur Road,,2024-02-09 12:55:46+00:00,True,High,unknown,closed,road construction...no traffic,Peenya,,,FKUSR00522,,
FKID000834,planned,construction,"Bhashyam Road, Cottonpet Circle, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",12.9745058,77.5704978,unknown,unknown,Non-corridor,,2024-02-24 00:08:46+00:00,True,Low,unknown,closed,shantala towards ltp road White taping road cunstuction..,Chamarajpet,2024-02-23 04:55:23.357458+00:00,,FKUSR00292,,
FKID000894,planned,construction,"ಧನವಂತ್ರಿ ರಸ್ತೆ, ಸ್ವತಂತ್ರ ಪಾಳ್ಯ ವಾರ್ಡ್, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560009, India",12.98506103,77.57213473,KrishnaFlourMill,Central Zone 2,Non-corridor,2023-11-12 12:05:46+00:00,2024-02-10 12:05:46+00:00,True,Low,unknown,closed,"BWSSB Road Cwork at [LOCATION] junction.(12.985016993498627, 77.57213578357488)",Sheshadripuram,,,FKUSR00009,129600.0,12.0
FKID000895,planned,construction,"Basavanapura Road, Sri Manjunatha Layout, KR Puram, Bengaluru, Karnataka. Pin-560049 (India)",13.0160832,77.7091853,unknown,unknown,Non-corridor,,2024-03-11 23:34:46+00:00,True,Low,unknown,closed,fathholls,K.R. Pura,,,FKUSR00561,,
FKID000898,planned,construction,"ಧನವಂತ್ರಿ ರಸ್ತೆ, ಸ್ವತಂತ್ರ ಪಾಳ್ಯ ವಾರ್ಡ್, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560009, India",12.98506103,77.57213473,KrishnaFlourMill,Central Zone 2,Non-corridor,2023-11-12 12:05:46+00:00,2024-02-10 12:05:46+00:00,True,Low,unknown,closed,"BWSSB Road Cwork at [LOCATION] junction.(12.985016993498627, 77.57213578357488)",Sheshadripuram,,,FKUSR00009,129600.0,12.0
FKID000921,planned,protest,"Dinnur Main Road, Southern Residency Apartment, Sultanpalya, Bengaluru, Karnataka. Pin-560032 (India)",13.0218192,77.6032802,unknown,unknown,Non-corridor,,2024-02-10 21:34:46+00:00,True,Low,unknown,closed,,R.T. Nagar,,,FKUSR00036,,
FKID000922,planned,protest,"Dinnur Main Road, Southern Residency Apartment, Sultanpalya, Bengaluru, Karnataka. Pin-560032 (India)",13.0217897,77.6032151,unknown,unknown,Non-corridor,,2024-02-10 21:41:46+00:00,True,Low,unknown,closed,,R.T. Nagar,,,FKUSR00036,,
FKID000946,planned,public_event,"Minsk Square, ಕಬ್ಬನ್ ರಸ್ತೆ, ವಸಂತ ನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",12.98083823,77.59757498,unknown,unknown,CBD 2,2024-02-11 23:05:46+00:00,2024-02-12 13:05:46+00:00,False,High,unknown,closed,"IPL Match 2026, BMTC Buses Holding Area, CTO Junction to BRV Junction, [LOCATION].",Shivajinagar,,,FKUSR00009,840.0,23.0
FKID000956,planned,procession,"Canara Bank Cross Road, Konanakunte Junction, Konanakunte, Bengaluru, Karnataka. Pin-560062 (India)",12.8897429,77.5634232,unknown,unknown,Non-corridor,,2024-02-11 10:05:46+00:00,False,Low,unknown,closed,due to [LOCATION] festival outgoing and  incoming traffic slow movement,K.S. Layout,2024-02-11 09:21:11.432724+00:00,,FKUSR00588,,
FKID000970,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9694641,77.7006492,unknown,unknown,ORR East 2,,2024-03-12 10:05:46+00:00,False,High,unknown,closed,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,HAL Old Airport,,,FKUSR00043,,
FKID000988,planned,construction,"Mumbai Bengaluru Highway, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",13.0488014,77.4969913,unknown,unknown,Non-corridor,,2024-03-12 17:18:46+00:00,True,Low,unknown,closed,fly over load testing work sir,Peenya,,,FKUSR00592,,
FKID000994,planned,public_event,"Manipal County Road, Vishwapriya Nagara, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560114, India",12.87879912,77.6376673,unknown,unknown,Non-corridor,2024-02-12 22:05:46+00:00,2024-02-13 22:05:46+00:00,True,Low,unknown,closed,Shri. [PERSON],Electronic City,,,FKUSR00009,1440.0,22.0
FKID000997,planned,construction,"Goraguntepalya Flyover, Manjunatha Nagar, Bengaluru North City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560073, India",13.04889341,77.49697387,unknown,unknown,Non-corridor,2024-03-12 17:05:46+00:00,2024-03-15 23:05:46+00:00,True,Low,north,closed,cable repair works on [LOCATION],Chikkabanavara,,,FKUSR00009,4680.0,17.0
FKID000998,planned,construction,"Mumbai Bengaluru Highway, Ramana Joythi Apartment, Yeshwanthpur Suburb Stage 2, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",13.0324111,77.5338246,unknown,unknown,Tumkur Road,,2024-03-15 23:05:46+00:00,True,High,unknown,closed,Notification done for flyover closure.,Yeshwanthpura,,,FKUSR00611,,
FKID001014,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9694209,77.7005861,unknown,unknown,ORR East 2,,2024-03-13 02:05:46+00:00,False,High,unknown,closed,[PERSON] station work traffic slow moment sir [PERSON] towards rainbow sir,HAL Old Airport,,,FKUSR00369,,
FKID001025,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9694344,77.7006256,unknown,unknown,ORR East 2,,2024-03-13 10:05:46+00:00,False,High,unknown,closed,karthiknagara towards [LOCATION] and karthiknagara towards marathhalli traffic movement will be slow due to [LOCATION] station piller work,HAL Old Airport,,,FKUSR00043,,
FKID001052,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9693674,77.7006428,unknown,unknown,ORR East 2,,2024-02-13 08:35:46+00:00,False,High,unknown,closed,[LOCATION] work in progress,HAL Old Airport,,,FKUSR00400,,
FKID001059,planned,construction,"Old Airport Road, Thimma Reddy Layout, Murugeshpalya, Bengaluru, Karnataka. Pin-560017 (India)",12.9593323,77.6555092,unknown,unknown,Old Airport Road,2024-03-13 02:44:46+00:00,2024-05-14 02:46:46+00:00,False,High,unknown,active,underpass work progress,Jeevanbheemanagar,,,FKUSR00636,89282.0,2.0
FKID001064,planned,public_event,"ಬಳ್ಳಾರಿ ರಸ್ತೆ, ಗುಟ್ಟಹಳ್ಳಿ, ಸದಾಶಿವ ನಗರ, ಬೆಂಗಳೂರು ಪಶ್ಚಿಮ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560003, India",13.00995617,77.58398473,unknown,unknown,Bellary Road 1,2024-02-14 22:05:46+00:00,,False,High,west,closed,Public event held by a  Private Co operative society,Sadashivanagar,,,FKUSR00640,,22.0
FKID001104,planned,procession,"Begur Main Road, Krishna Reddy Layout, Hongasandra, Bengaluru, Karnataka. Pin-560068 (India)",12.8965845,77.6261058,unknown,unknown,Non-corridor,,2024-02-13 10:10:46+00:00,False,Low,unknown,closed,,Madiwala,,,FKUSR00227,,
FKID001128,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9692752,77.7007183,unknown,unknown,ORR East 2,,2024-02-14 07:05:46+00:00,False,High,unknown,closed,[LOCATION] station pillar work in kartiknaga towards mahadevapura sir /madam,HAL Old Airport,,,FKUSR00670,,
FKID001135,planned,construction,"BGS Flyover, Church Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",12.9641735,77.5698015,unknown,unknown,Mysore Road,,2024-03-07 21:44:46+00:00,True,High,unknown,closed,white topping work .sultan road close,Chamarajpet,2024-02-24 23:39:11.392625+00:00,,FKUSR00430,,
FKID001160,planned,construction,"Panathur Main Road, Panathur, Bengaluru, Karnataka. Pin-560087 (India)",12.936245,77.705295,unknown,unknown,Non-corridor,,2024-02-14 02:31:46+00:00,False,Low,unknown,closed,ನಿಯರ್ ಪಣತೂರು ರೈಲ್ವೆ ಬ್ರಿಜ್ ಹತ್ತಿರ  ಪಣತೂರ್ ಮುಖ್ಯ ರಸ್ತೆಯಲ್ಲಿ ಬೆಸ್ಕಾಂ ವರ್ಕ್ ನಡೆಯುತ್ತಿರುತ್ತದೆ.,HAL Old Airport,,,FKUSR00682,,
FKID001167,planned,procession,"D'Souza Circle, Philomena's Hospital Road, Xavier Layout, Ashok Nagar, Ashokanagar, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560047, India",12.9671627,77.61127353,unknown,unknown,Non-corridor,2024-02-13 06:35:46+00:00,2024-02-14 04:35:46+00:00,True,Low,unknown,closed,5k marathon,Ashok Nagar,,,FKUSR00688,1320.0,6.0
FKID001198,planned,protest,"1st Main Road, Vinoba Nagar, Kadugondanahalli, Bengaluru, Karnataka. Pin-560045 (India)",13.0193149,77.6188821,unknown,unknown,Non-corridor,,2024-03-13 21:19:46+00:00,True,Low,unknown,closed,bwssb,K.G. Halli,,,FKUSR00036,,
FKID001204,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9697571,77.7004934,unknown,unknown,ORR East 2,,2024-02-15 10:05:46+00:00,False,High,unknown,closed,karthiknagara towards [PERSON] and [PERSON] towards [LOCATION] traffic movement will be slow due to [LOCATION] station piller work,HAL Old Airport,,,FKUSR00043,,
FKID001211,planned,construction,"HAL Airport Road, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9568587,77.7012705,unknown,unknown,Varthur Road,,2024-01-31 17:05:46+00:00,True,High,unknown,closed,[PERSON] bridge under pass both side [LOCATION] work main rd close and service rd open traffic slow moment sir,HAL Old Airport,,,FKUSR00369,,
FKID001226,planned,construction,"Bellary Road, Kirloskar Business Park, Hebbal Kempapura, Bengaluru, Karnataka. Pin-560024 (India)",13.0515065,77.5941215,unknown,unknown,Bellary Road 1,,2024-02-15 04:35:46+00:00,False,High,unknown,closed,NHAI road work [PERSON] towards airport road,Hebbala,,,FKUSR00089,,
FKID001269,planned,construction,"Mumbai Bengaluru Highway, Nanjundeshwara Layout, Chikkabidarakallu, Bengaluru, Karnataka. Pin-560073 (India)",13.0504812,77.4909712,unknown,unknown,Non-corridor,,2024-02-15 12:48:46+00:00,True,Low,unknown,closed,road domboor work ing traffic slow moment sir,No Police Station,,,FKUSR00729,,
FKID001276,planned,construction,"1st Main Road, Prestige Jindal City, Chikkabidarakallu, Bengaluru, Karnataka. Pin-560073 (India)",13.0537346,77.48854,unknown,unknown,Non-corridor,,2024-02-15 15:04:46+00:00,True,Low,unknown,closed,road work damboor road work,No Police Station,,,FKUSR00729,,
FKID001278,planned,construction,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.969468,77.7007118,unknown,unknown,ORR East 2,,2024-02-16 10:05:46+00:00,False,High,unknown,closed,metro work [LOCATION] towards kr puram sir,HAL Old Airport,,,FKUSR00352,,
FKID001282,planned,construction,"Hennur Main Road, Geddalahalli, Bengaluru, Karnataka. Pin-560077 (India)",13.0489059,77.6454803,unknown,unknown,Non-corridor,,2024-03-14 05:56:46+00:00,False,Low,unknown,closed,white tapping is going on hennur bagalur main road sir,Hennuru,,,FKUSR00318,,
FKID001289,planned,construction,"Ayodhya Road, Jalamandala CHS, Jayanagar, Bengaluru, Karnataka. Pin-560070 (India)",12.9170417,77.579445,unknown,unknown,Non-corridor,,2024-02-16 01:55:46+00:00,False,Low,unknown,closed,ನಮಸ್ತೆ ಸರ್ BWSSB ರವರು ಕೆಲಸ [PERSON] ಗುಂಡಿ ಮುಚ್ಚದೆ ಹಾಗೆ ರೋಡಿನ ಮಧ್ಯದಲ್ಲಿ ಬಿಟ್ಟಿರುವುದರಿಂದ ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮೂವ್ಮೆಂಟ್ ಇದೆ,Jayanagara,,,FKUSR00051,,
