id,event_type,event_cause,address,latitude,longitude,junction,zone,corridor,start_datetime,end_datetime,requires_road_closure,priority,direction,status,description,veh_type,police_station,closed_datetime,resolved_datetime,resolved_at_address,resolved_at_latitude,resolved_at_longitude,created_by_id,duration_min,start_hour
FKID000011,unplanned,vehicle_breakdown,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",12.94457,77.5274017,MysoreRd-RingRdJunc(Nayandanahallii),unknown,ORR West 1,2024-01-30 05:21:06.975000+00:00,,False,High,unknown,closed,,private_car,Byatarayanapura,,,,,,FKUSR00012,,5.0
FKID000012,unplanned,water_logging,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",12.9995223,77.6827499,unknown,unknown,ORR East 2,2024-03-07 18:00:05.020000+00:00,,False,High,unknown,active,lorry undar pass woter logging trafick swol moment ph [PHONE],unknown,Mahadevapura,,,,,,FKUSR00011,,18.0
FKID000013,unplanned,others,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",13.0418933,77.594705,HebbalFlyoverJunc,North Zone 1,ORR North 1,2023-12-26 19:15:28.124000+00:00,,False,High,unknown,closed,Starting problem,unknown,Hebbala,2024-03-07 19:10:20.402869+00:00,,,,,FKUSR00013,103674.9,19.0
FKID000014,unplanned,pot_holes,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",12.975285,77.6256902,unknown,unknown,Old Madras Road,2024-03-07 19:26:15.604000+00:00,,False,High,unknown,active,traffic slow moving and accident happening,unknown,Halasur,,,,,,FKUSR00014,,19.0
FKID000015,unplanned,others,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",13.0633917,77.5933483,unknown,unknown,Bellary Road 2,2024-03-07 19:10:21.930000+00:00,,False,High,unknown,active,ಟೈರ್ ಪಂಚರ್,unknown,Kodigehalli,,,,,,FKUSR00013,,19.0
FKID000016,unplanned,others,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",13.063425,77.5933,unknown,unknown,Bellary Road 2,2024-03-07 19:11:15.565000+00:00,,False,High,unknown,active,tyear blost,unknown,Kodigehalli,,,,,,FKUSR00013,,19.0
FKID000017,unplanned,others,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",13.0254527,77.6417388,unknown,unknown,ORR North 1,2024-03-07 19:18:29.890000+00:00,,False,High,unknown,active,[LOCATION] parked at ring road sir traffic little bit slow sir,unknown,Hennuru,,,,,,FKUSR00015,,19.0
FKID000018,unplanned,tree_fall,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",12.9233517,77.5904883,unknown,unknown,Non-corridor,2024-03-07 19:39:29.764000+00:00,,False,Low,unknown,closed,ssmrv junction towards 20th main ಬಳಿ ಮರ ಬಿದ್ದಿರುತ್ತೆ,unknown,Jayanagara,2024-03-08 00:32:50.464450+00:00,,,,,FKUSR00016,293.3,19.0
FKID000019,unplanned,vehicle_breakdown,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",13.0001393,77.5840594,unknown,unknown,Bellary Road 1,2024-01-30 04:49:17.231000+00:00,,False,High,unknown,closed,KSRTC bus mechanic [PERSON] sir that's why vehicle not moving,ksrtc_bus,Sadashivanagar,,,,,,FKUSR00017,,4.0
FKID000020,unplanned,vehicle_breakdown,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",12.9071221,77.6286395,unknown,unknown,Hosur Road,2024-03-07 19:25:04.302000+00:00,,False,High,unknown,closed,ಬೊಮ್ಮನಹಳ್ಳಿ ಟವರ್ಡ್ಸ್ ಸಿಟಿ ಟೆಕ್ನಿಕಲ್ ಪ್ರಾಬ್ಲಮ್ ನಿಂದ ವೆಹಿಕಲ್ ಬ್ರೇಕ್ ಡೌನ್ ಆಗಿರುತ್ತದೆ,heavy_vehicle,Madiwala,2024-03-07 19:52:19.227138+00:00,,,,,FKUSR00018,27.2,19.0
FKID000021,unplanned,tree_fall,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",12.927375,77.5806883,unknown,unknown,Non-corridor,2024-03-07 19:45:16.034000+00:00,,True,Low,unknown,closed,,unknown,Jayanagara,2024-03-09 20:33:47.282786+00:00,,,,,FKUSR00019,2928.5,19.0
FKID000022,unplanned,pot_holes,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",12.9169074,77.5950955,28thMainJayanagarJunc,South Zone 1,Non-corridor,2024-01-05 22:35:41.185000+00:00,,False,Low,unknown,closed,,unknown,Jayanagara,2024-03-07 19:48:05.331210+00:00,,,,,FKUSR00019,89112.4,22.0
FKID000023,unplanned,pot_holes,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",12.9667047,77.6615983,unknown,unknown,Non-corridor,2024-01-30 08:32:47.117000+00:00,,False,Low,unknown,active,A,unknown,Jeevanbheemanagar,,,,,,FKUSR00020,,8.0
FKID000024,unplanned,water_logging,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",12.8966387,77.7202071,unknown,unknown,Non-corridor,2024-03-07 19:55:24.461000+00:00,,False,Low,unknown,active,water logging with drainage leakage near [LOCATION] bus stop [LOCATION] road.,unknown,Whitefield,,,,,,FKUSR00021,,19.0
FKID000025,unplanned,tree_fall,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",12.9463911,77.597326,unknown,unknown,Non-corridor,2024-03-07 06:09:19.361000+00:00,,True,Low,unknown,closed,no,unknown,Wilson Garden,2024-03-07 20:12:38.802518+00:00,,,,,FKUSR00022,843.3,6.0
FKID000026,unplanned,pot_holes,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9856042,77.5977438,unknown,unknown,Non-corridor,2024-01-30 08:35:04.399000+00:00,,False,High,unknown,active,Chamber hole,unknown,Shivajinagar,,,,,,FKUSR00023,,8.0
FKID000027,unplanned,vehicle_breakdown,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",12.9077383,77.6005709,unknown,unknown,Bannerghata Road,2024-01-30 08:12:47.138000+00:00,,False,High,unknown,closed,Bmtc bus offload due to gear box problem,bmtc_bus,Mico Layout,,,,,,FKUSR00024,,8.0
FKID000028,unplanned,pot_holes,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",12.9635109,77.6642122,unknown,unknown,Non-corridor,2024-01-30 08:25:57.212000+00:00,,False,Low,unknown,closed,A,unknown,HAL Old Airport,2024-01-30 08:35:01.998607+00:00,,,,,FKUSR00020,9.1,8.0
FKID000029,unplanned,pot_holes,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",12.9667073,77.6615616,unknown,unknown,Non-corridor,2024-01-30 08:31:37.367000+00:00,,False,Low,unknown,active,A,unknown,Jeevanbheemanagar,,,,,,FKUSR00020,,8.0
FKID000030,unplanned,pot_holes,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",12.9666867,77.6616478,unknown,unknown,Non-corridor,2024-01-30 08:33:55.212000+00:00,,False,Low,unknown,active,,unknown,Jeevanbheemanagar,,,,,,FKUSR00020,,8.0
FKID000031,unplanned,vehicle_breakdown,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",12.907814,77.6006561,unknown,unknown,Bannerghata Road,2024-01-30 08:08:05.581000+00:00,,True,High,unknown,closed,GD mara to [PERSON],bmtc_bus,Mico Layout,,,,,,FKUSR00024,,8.0
FKID000032,unplanned,vehicle_breakdown,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",12.8955737,77.5993711,unknown,unknown,Bannerghata Road,2024-01-30 05:43:18.534000+00:00,,False,High,unknown,closed,Near hsbc junction lgv vehicle off road due to clutch plate got broken have left side no problem to traffic from hsbc to arakere junction sir,lcv,J.P. Nagar,,,,,,FKUSR00025,,5.0
FKID000033,unplanned,tree_fall,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",12.92757,77.5832051,unknown,unknown,Non-corridor,2024-03-07 20:06:03.523000+00:00,,False,Low,unknown,closed,,unknown,Jayanagara,2024-03-09 20:33:44.935343+00:00,,,,,FKUSR00019,2907.7,20.0
FKID000034,unplanned,congestion,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",13.044697,77.5828546,unknown,unknown,ORR North 2,2024-01-30 05:38:15.485000+00:00,,False,High,unknown,closed,BWSSB AND KRIDE WORK AT [LOCATION] hebbal circle to bhadrapp layout sir,unknown,Kodigehalli,,,,,,FKUSR00026,,5.0
FKID000035,unplanned,pot_holes,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",12.9666885,77.6616396,unknown,unknown,Non-corridor,2024-01-30 08:35:57.672000+00:00,,False,Low,unknown,active,A,unknown,Jeevanbheemanagar,,,,,,FKUSR00020,,8.0
FKID000036,unplanned,vehicle_breakdown,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",12.9789228,77.5644032,unknown,unknown,Magadi Road,2024-03-07 20:17:50.952000+00:00,,False,High,unknown,closed,traffic normal sir.,bmtc_bus,Magadi Road,,,,,,FKUSR00027,,20.0
FKID000037,unplanned,accident,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)",12.8636494,77.6725849,unknown,unknown,Non-corridor,2024-01-30 03:52:59.126038+00:00,,False,Low,unknown,closed,,unknown,Electronic City,,,,,,FKUSR00028,,3.0
FKID000038,unplanned,vehicle_breakdown,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",12.9219483,77.6002467,unknown,unknown,Bannerghata Road,2024-01-30 15:15:10.139000+00:00,,False,High,unknown,closed,One garage vehical stopped on road due to break down,heavy_vehicle,Mico Layout,,,,,,FKUSR00030,,15.0
FKID000041,unplanned,others,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9936273,77.5844677,unknown,unknown,Bellary Road 1,2024-03-07 20:20:31.140000+00:00,,True,High,unknown,closed,Near cm office [PERSON] towards B02 junction sir,unknown,High ground,2024-03-07 22:06:56.289070+00:00,,,,,FKUSR00032,106.4,20.0
FKID000042,unplanned,vehicle_breakdown,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",12.9465079,77.6986339,unknown,unknown,ORR East 1,2024-01-30 20:38:19.329000+00:00,,False,High,unknown,closed,Biriyani zone [PERSON] on [LOCATION] off road,bmtc_bus,HAL Old Airport,,,,,,FKUSR00033,,20.0
FKID000043,unplanned,vehicle_breakdown,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",13.0467058,77.5036495,unknown,unknown,Non-corridor,2024-03-07 18:29:50.857000+00:00,,False,Low,unknown,closed,,lcv,Chikkabanavara,,,,,,FKUSR00034,,18.0
FKID000044,unplanned,vehicle_breakdown,"14th Cross Road, Industrial Area Stage 3, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",13.0166142,77.5054464,Peenya14thCrossJunc,West Zone 1,Non-corridor,2023-12-28 06:06:26.375000+00:00,,False,Low,unknown,closed,BMTC off road on 14th cross towards NTTF traffic one side movement,bmtc_bus,Peenya,,,,,,FKUSR00035,,6.0
FKID000046,unplanned,vehicle_breakdown,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",13.0309717,77.5364661,unknown,unknown,Tumkur Road,2024-01-30 19:33:25.417000+00:00,,False,High,unknown,closed,Cmti jn incoming [LOCATION] LGv ವೆಹಿಕಲ್ ಕಮಾನ್ ಪಾಟ್ ಕಟ್ ಆಗಿದೆ ಸರ್,lcv,Yeshwanthpura,,,,,,FKUSR00037,,19.0
FKID000047,unplanned,others,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",13.0262806,77.5442344,unknown,unknown,Tumkur Road,2024-03-07 20:27:15.443000+00:00,,False,High,unknown,closed,mei signal off due to power Problem,unknown,Yeshwanthpura,2024-03-07 22:40:47.232952+00:00,,,,,FKUSR00038,133.5,20.0
FKID000048,unplanned,tree_fall,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9938639,77.5844374,unknown,unknown,Bellary Road 1,2024-03-07 20:41:41.999000+00:00,,False,High,unknown,closed,,unknown,High ground,2024-03-09 03:11:00.032388+00:00,,,,,FKUSR00039,1829.3,20.0
FKID000049,unplanned,vehicle_breakdown,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",12.9188682,77.6687736,unknown,unknown,ORR East 1,2024-01-30 21:27:52.454000+00:00,,False,High,unknown,closed,BMTC buss off -road due to break down..fire station jn towards [LOCATION],bmtc_bus,Bellandur,2024-01-30 22:23:24.957711+00:00,,,,,FKUSR00040,55.5,21.0
FKID000050,unplanned,congestion,"Nagasandra Road, Serenity Layout, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",12.9546127,77.6423399,unknown,unknown,IRR(Thanisandra road),2024-01-30 20:46:34.356000+00:00,,False,High,unknown,closed,,unknown,Jeevanbheemanagar,,,,,,FKUSR00041,,20.0
FKID000051,unplanned,vehicle_breakdown,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",12.936133,77.5187044,unknown,unknown,Mysore Road,2024-01-30 21:13:55.445000+00:00,,False,High,unknown,closed,,lcv,Byatarayanapura,,,,,,FKUSR00042,,21.0
FKID000053,unplanned,vehicle_breakdown,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9849833,77.5883633,unknown,unknown,Bellary Road 1,2024-01-30 21:47:40.463000+00:00,,False,High,unknown,closed,"LRDE ಜಂಕ್ಷನ್ ಯಿಂದ ಬಸವೇಶ್ವರ ಜಂಕ್ಷನ್ ಕಡೆ ಬರುವ ಮದ್ಯದಲ್ಲಿ ಕಾರು ಪಂಚರ್ ಆಗಿದ್ದು,ಟ್ರಾಫಿಕ್ ಸ್ಲೋ ಮುಮೆಂಟ್ ಇರುತ್ತದೆ ಸರ್",private_car,High ground,2024-01-30 22:57:00.255562+00:00,,,,,FKUSR00044,69.3,21.0
FKID000054,unplanned,vehicle_breakdown,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",13.0127301,77.5545135,unknown,unknown,West of Chord Road,2024-03-07 20:42:57.607000+00:00,,False,High,unknown,closed,,truck,Malleshwaram,,,,,,FKUSR00045,,20.0
FKID000055,unplanned,road_conditions,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",12.9842019,77.7336286,unknown,unknown,Non-corridor,2024-01-30 21:54:56.083000+00:00,,False,Low,unknown,closed,,unknown,Whitefield,2024-01-30 22:56:12.701247+00:00,,,,,FKUSR00046,61.3,21.0
FKID000056,unplanned,vehicle_breakdown,"Bangalore Bellary Road, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)",13.2644465,77.7187627,unknown,unknown,Non-corridor,2024-01-30 19:36:33.702000+00:00,,True,Low,unknown,closed,HGV breakdown hagide sir,heavy_vehicle,Devanahalli Airport,,,,,,FKUSR00047,,19.0
FKID000057,unplanned,vehicle_breakdown,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",12.9848257,77.7527586,unknown,unknown,Non-corridor,2024-01-30 22:06:02.276000+00:00,,False,Low,unknown,closed,Gear jam not moving traffic slow moving,private_car,Mahadevapura,2024-01-30 22:42:27.016248+00:00,,,,,FKUSR00048,36.4,22.0
FKID000058,unplanned,tree_fall,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9932986,77.5837571,unknown,unknown,Bellary Road 1,2024-03-07 20:51:39.532000+00:00,,False,High,unknown,closed,,unknown,High ground,2024-03-09 03:10:44.241252+00:00,,,,,FKUSR00039,1819.1,20.0
FKID000059,unplanned,tree_fall,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9937523,77.5842482,unknown,unknown,Bellary Road 1,2024-03-07 20:47:40.640000+00:00,,False,High,unknown,closed,,unknown,High ground,2024-03-09 03:10:47.308123+00:00,,,,,FKUSR00039,1823.1,20.0
FKID000060,unplanned,tree_fall,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9938868,77.5841876,unknown,unknown,Bellary Road 1,2024-03-07 20:45:19.752000+00:00,,False,High,unknown,closed,,unknown,High ground,2024-03-09 03:10:58.037069+00:00,,,,,FKUSR00039,1825.6,20.0
FKID000061,unplanned,vehicle_breakdown,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.9368467,77.6928653,unknown,unknown,ORR East 1,2024-01-30 23:05:02.339000+00:00,,False,High,unknown,resolved,Kadubisanahalli toward devarabisnahalli car starting problem,private_car,HAL Old Airport,,2024-01-30 23:15:33.148168+00:00,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",12.9368467,77.6928653,FKUSR00049,10.5,23.0
FKID000062,unplanned,tree_fall,"1st Cross Road, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",13.0126766,77.5581246,unknown,unknown,Non-corridor,2024-03-07 20:53:37.293000+00:00,,True,Low,unknown,closed,,unknown,Malleshwaram,2024-03-23 05:38:25.456414+00:00,,,,,FKUSR00045,22124.8,20.0
FKID000063,unplanned,vehicle_breakdown,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",12.9513113,77.4994888,unknown,unknown,Non-corridor,2024-01-30 23:12:23.123000+00:00,,False,Low,unknown,closed,ಬಿಎಂಟಿಸಿ ಬಸ್ ಗೇರ್ ರಾಡ್ ಕಟ್ ಆಗಿ ಕೆಟ್ಟು ನಿಂತಿದೆ ಸರ್,bmtc_bus,Jnanabharathi,2024-01-31 00:35:36.782614+00:00,,,,,FKUSR00007,83.2,23.0
FKID000064,unplanned,vehicle_breakdown,"14th Cross Road, Industrial Area Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",13.0160964,77.5068555,unknown,unknown,Non-corridor,2024-01-30 21:21:57.881000+00:00,,False,Low,unknown,closed,BMTC off road on 14th cross towards [LOCATION] traffic normal sir,bmtc_bus,Peenya,,,,,,FKUSR00035,,21.0
FKID000065,unplanned,pot_holes,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",12.9807501,77.6028238,unknown,unknown,CBD 1,2024-03-07 21:05:54.697000+00:00,,False,High,unknown,active,ಮ್ಯಾನ್ ಹೋಲ್ ಕವರ್ ಮುರಿದಿರುತ್ತದೆ ಸರ್,unknown,Shivajinagar,,,,,,FKUSR00050,,21.0
FKID000066,unplanned,tree_fall,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",12.9165983,77.583705,unknown,unknown,Non-corridor,2024-03-07 20:58:06.297000+00:00,,False,Low,unknown,closed,[LOCATION] sir 9 th main 46 crs trdd BSNL office tree fallen on main road closed,unknown,J.P. Nagar,2024-03-08 02:19:20.587942+00:00,,,,,FKUSR00051,321.2,20.0
FKID000067,unplanned,pot_holes,"Horamavu Main Road, Another Sky by Living Walls, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",13.0198619,77.6562235,unknown,unknown,Non-corridor,2024-01-31 01:04:36.275000+00:00,,False,High,unknown,active,Potholes,unknown,Hennuru,,,,,,FKUSR00052,,1.0
FKID000068,unplanned,pot_holes,"MBT Road, Peddanna Reddy Layout, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",13.0191848,77.6555127,unknown,unknown,ORR North 1,2024-01-31 01:01:36.195000+00:00,,False,High,unknown,active,,unknown,Hennuru,,,,,,FKUSR00052,,1.0
FKID000069,unplanned,vehicle_breakdown,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",12.9740913,77.5452252,unknown,unknown,West of Chord Road,2024-01-31 00:33:27.663000+00:00,,False,High,unknown,closed,Vehicle movment very slow,bmtc_bus,Vijayanagara,2024-01-31 01:17:38.964363+00:00,,,,,FKUSR00053,44.2,0.0
FKID000070,unplanned,vehicle_breakdown,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",12.9740971,77.5449011,unknown,unknown,West of Chord Road,2024-01-31 00:36:02.277000+00:00,,False,High,unknown,closed,,bmtc_bus,Vijayanagara,2024-01-31 01:17:50.142637+00:00,,,,,FKUSR00054,41.8,0.0
FKID000071,unplanned,vehicle_breakdown,"Binny Mill Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",12.9688926,77.569795,unknown,unknown,Non-corridor,2024-01-31 01:24:44.373000+00:00,,False,Low,unknown,closed,"[LOCATION] road jn towards mill road jn this vehicle Back wheel puncher, traffic little bit slow moving sir",auto,Chamarajpet,2024-01-31 01:50:53.884849+00:00,,,,,FKUSR00055,26.2,1.0
